id, name, state_id
223, Puerto Escondido - Zicatela, 20
224, Salina Cruz, 20
225, Santiago Pinotepa Nacional, 20
226, Santo Domingo Tehuantepec, 20
227, Tuxtepec, 20
228, Acajete, 21
229, Acatzingo - Los Reyes, 21
230, Ajalpan - Altepeji, 21
231, Atlixco, 21
232, Ciudad Serdan, 21
233, Huauchinango, 21
234, Huejotzingo, 21
235, Izúcar de Matamoros, 21
236, Nuevo Necaxa - Tenango, 21
237, Palmarito Tochapan, 21
238, Puebla, 21
239, San Lorenzo Chiautzingo - San Felipe Teotlalcingo, 21
240, San Martín Texmelucan, 21
241, Tecamachalco, 21
242, Tehuacán, 21
243, Tepeaca, 21
244, Teziutlán, 21
245, Xicotepec de Juárez, 21
246, Zacatlán, 21
247, Querétaro, 22
248, San Juan del Río, 22
249, Tequisquiapan, 22
250, Cancún, 23
251, Chetumal, 23
252, Cozumel, 23
253, Felipe Carrillo Puerto, 23
254, Playa del Carmen, 23
255, Ciudad Valles, 24
256, Ebano, 24
257, Matehuala, 24
258, Rioverde - Ciudad Fernández, 24
259, San Luis Potosí, 24
260, Tamazunchale, 24
261, Costa Rica, 25
262, Culiacán Rosales, 25
263, Escuinapa, 25
264, Gabriel Leyva Solano (Benito Juárez), 25
265, Guamuchil, 25
266, Guasave, 25
267, Heroica Caborca, 25
268, Juan José Ríos, 25
269, Lic. Benito Juárez (campo Gobierno), 25
270, Los Mochis, 25
271, Mazatlán, 25
272, Navolato, 25
273, Agua Prieta, 26
274, Cananea, 26
275, Ciudad Obregón, 26
276, Esperanza, 26
277, Guaymas, 26
278, Hermosillo, 26
279, Heroica Nogales, 26
280, Huatabampo, 26
281, Magdalena de Kino, 26
282, Miguel Alemán (la Doce), 26
283, Navojoa, 26
284, Puerto Peñasco, 26
285, San Luis Río Colorado, 26
286, Cárdenas, 27
287, Comalcalco, 27
288, Cunduacan, 27
289, Emiliano Zapata, 27
290, Frontera, 27
291, Huimanguillo, 27
292, Macuspana, 27
293, Paraiso, 27
294, Teapa, 27
295, Tenosique de Pino Suárez, 27
296, Villahermosa, 27
297, Ciudad Mante, 28
298, Ciudad Miguel Alemán, 28
299, Ciudad Río Bravo, 28
300, Ciudad Victoria, 28
301, Heroica Matamoros, 28
302, Nuevo Laredo, 28
303, Reynosa, 28
304, San Fernando, 28
305, Tampico, 28
306, Valle Hermoso, 28
307, Apizaco, 29
308, Calpulalpan, 29
309, Huamantla, 29
310, Tlaxcala, 29
311, Xaloztoc, 29
312, Acayucan, 30
313, Agua Dulce, 30
314, Alamo, 30
315, Altotonga, 30
316, Alvarado, 30
317, Catemaco, 30
318, Cerro Azul, 30
319, Coatepec, 30
320, Coatzacoalcos, 30
321, Córdoba, 30
322, Cosamaloapan - Carlos A. Carrillo, 30
323, Huatusco de Chicuellar, 30
324, Isla, 30
325, Jose Cardel - Cabezas, 30
326, Las Choapas, 30
327, Lerdo de Tejada, 30
328, Martínez de la Torre, 30
329, Minatitlán, 30
330, Misantla, 30
331, Naranjos, 30
332, Orizaba, 30
333, Pánuco, 30
334, Papantla de Olarte, 30
335, Perote, 30
336, Poza Rica, 30
337, San Andrés Tuxtla, 30
338, Santiago Tuxtla, 30
339, Tantoyuca, 30
340, Tierra Blanca, 30
341, Tlapacoyan, 30
342, Tres Valles, 30
343, Tuxpam, 30
344, Veracruz, 30
345, Xalapa, 30
346, Hunucma, 31
347, Mérida, 31
348, Motul de Carrillo Puerto, 31
349, Oxkutzcab, 31
350, Peto, 31
351, Progreso, 31
352, Tekax de Alvaro Obregón, 31
353, Ticul, 31
354, Tizimín, 31
355, Valladolid, 31
356, Fresnillo, 32
357, Jerez de García Salinas, 32
358, Loreto, 32
359, Nochistlán de Mejía, 32
360, Ojocaliente, 32
361, Río Grande, 32
362, Sombrerete, 32
363, Victor Rosales, 32
364, Zacatecas, 32
365, Montgomery, 33
366, Birmingham, 33
367, Juneau, 34
368, Anchorage, 34
369, Phoenix, 35
370, Little Rock, 36
371, Sacramento, 37
372, Los Angeles, 37
373, Denver, 38
374, Hartford, 39
375, Bridgeport, 39
376, Dover, 40
377, Wilmington, 40
378, Tallahassee, 41
379, Jacksonville, 41
380, Atlanta, 42
381, Honolulu, 43
382, Boise, 44
383, Springfield, 45
384, Chicago, 45
385, Indianapolis, 46
386, Des Moines, 47
387, Topeka, 48
388, Wichita, 48
389, Frankfort, 49
390, Louisville, 49
391, Baton Rouge, 50
392, Augusta, 51
393, Portland, 51
394, Annapolis, 52
395, Baltimore, 52
396, Boston, 53
397, Lansing, 54
398, Detroit, 54
399, Saint Paul, 55
400, Minneapolis, 55
401, Jackson, 56
402, Jefferson, 57
403, Kansas City, 57
404, Helena, 58
405, Billings, 58
406, Lincoln, 59
407, Omaha, 59
408, Carson City, 60
409, Las Vegas, 60
410, Concord, 61
411, Manchester, 61
412, Trenton, 62
413, Newark, 62
414, Santa Fe, 63
415, Albuquerque, 63
416, Albany, 64
417, New York, 64
418, Raleigh, 65
419, Charlotte, 65
420, Bismarck, 66
421, Fargo, 66
422, Columbus, 67
423, Oklahoma, 68
424, Salem, 69
425, Portland, 69
426, Harrisburg, 70
427, Philadelphia, 70
428, Providence, 71
429, Columbia, 72
430, Pierre, 73
431, Sioux Falls, 73
432, Nashville, 74
433, Memphis, 74
434, Austin, 75
435, Houston, 75
436, Salt Lake, 76
437, Montpelier, 77
438, Burlington, 77
439, Richmond, 78
440, Virginia Beach, 78
441, Olympia, 79
442, Seattle, 79
443, Charleston, 80
444, Madison, 81
445, Milwaukee, 81
446, Cheyenne, 82
