id, name, abbrev, administrative_key, zipcode, url, country_id, institution_id, fax, phone, city_id, institutiontitle_id, institutiontype_id, other, state_id, addr
63, Centro de Estudios sobre la Universidad, , 21102, , , 484, 1, , , 64, 8, 1, , 9, 
64, Centro de Investigaciones Interdisciplinarias en Ciencias y Humanidades, , 21103, , , 484, 1, , , 64, 8, 1, , 9, 
65, Centro de Investigaciones sobre América del Norte, , 21107, , , 484, 1, , , 64, 8, 1, , 9, 
66, Centro Regional de Investigaciones Multidisciplinarias, , 21106, , , 484, 1, , , 64, 8, 1, , 9, 
67, Centro Universitario de Investigaciones Bibliotecológicas, , 21104, , , 484, 1, , , 64, 8, 1, , 9, 
68, Centro de Ciencias Físicas, , 31107, , , 484, 1, , , 64, 8, 1, , 9, 
69, "Centro de Física Aplicada y Tecnología Avanzada en Juriquilla, Qro.", , 31118, , , 484, 1, , , 64, 8, 1, , 9, 
70, "Centro de Geociencias en Juriquilla, Qro.", , 31109, , , 484, 1, , , 64, 8, 1, , 9, 
71, Centro de Enseñanza de Lenguas Extranjeras, , 61201, , , 484, 1, , , 64, 8, 1, , 9, 
72, Centro de Enseñanza para Extranjeros, , 613, , , 484, 1, , , 64, 8, 1, , 9, 
73, Centro Universitario de Estudios Cinematográficos, , 61401, , , 484, 1, , , 64, 8, 1, , 9, 
74, Centro Universitario de Teatro, , 61501, , , 484, 1, , , 64, 8, 1, , 9, 
75, "Centro de Radioastronomía y Astrofísica en Morelia, Mich.", , 31104, , , 484, 1, , , 64, 8, 1, , 9, 
76, Centro de Investigaciones en Ecosistemas, , 31119, , , 484, 1, , , 64, 8, 1, , 9, 
77, Oficina del Rector, , 75101, , , 484, 1, , , 64, 9, 1, , 9, 
78, Oficina del Abogado General, , 75501, , , 484, 1, , , 64, 9, 1, , 9, 
79, Oficina del Tesorero, , 75601, , , 484, 1, , , 64, 9, 1, , 9, 
80, Oficina del Contralor, , 75701, , , 484, 1, , , 64, 9, 1, , 9, 
81, Oficina de Colaboración Interinstitucional, , 51101, , , 484, 1, , , 64, 9, 1, , 9, 
82, Oficina del Secretario General, , 752, , , 484, 1, , , 64, 9, 1, , 9, 
83, Oficina del Secretario Administrativo, , 75301, , , 484, 1, , , 64, 9, 1, , 9, 
84, Oficina del Secretario de Servicios a la Comunidad Universitaria, , 75401, , , 484, 1, , , 64, 9, 1, , 9, 
85, Oficina del Secretario de Desarrollo Institucional, , 75801, , , 484, 1, , , 64, 9, 1, , 9, 
86, Museo Universitario del Chopo, , 61701, , , 484, 1, , , 64, 10, 1, , 9, 
87, Dirección General de Finanzas, , 74401, , , 484, 1, , , 64, 11, 1, , 9, 
88, "Dirección General de Responsabilidades, Inconformidades y Registro Patrimonial", , 74601, , , 484, 1, , , 64, 11, 1, , 9, 
89, Dirección General de Presupuesto, , 74801, , , 484, 1, , , 64, 11, 1, , 9, 
90, Dirección General de Obras y Conservación, , 77101, , , 484, 1, , , 64, 11, 1, , 9, 
91, Dirección General del Colegio de Ciencias y Humanidades, , 47201, , , 484, 1, , , 64, 11, 1, , 9, 
92, Dirección General de Estudios de Posgrado, , 513, , , 484, 1, , , 64, 11, 1, , 9, 
93, Dirección General de Evaluación Educativa, , 51901, , , 484, 1, , , 64, 11, 1, , 9, 
94, Dirección General de Planeación, , 71201, , , 484, 1, , , 64, 11, 1, , 9, 
95, Dirección General de Servicios de Cómputo Académico, , 522, , , 484, 1, , , 64, 11, 1, , 9, 
96, Dirección General de Asuntos del Personal Académico, , 52301, , , 484, 1, , , 64, 11, 1, , 9, 
97, Dirección General de Incorporación y Revalidación de Estudios, , 55101, , , 484, 1, , , 64, 11, 1, , 9, 
98, Dirección General de Orientación y Servicios Educativos, , 55201, , , 484, 1, , , 64, 11, 1, , 9, 
99, Dirección General de Administración Escolar, , 55301, , , 484, 1, , , 64, 11, 1, , 9, 
100, Dirección General de Actividades Deportivas y Recreativas, , 56201, , , 484, 1, , , 64, 11, 1, , 9, 
101, Dirección General de Servicios Médicos, , 56301, , , 484, 1, , , 64, 11, 1, , 9, 
102, Dirección General de Bibliotecas, , 56401, , , 484, 1, , , 64, 11, 1, , 9, 
103, Dirección General de Atención a la Comunidad Universitaria, , 56501, , , 484, 1, , , 64, 11, 1, , 9, 
104, Dirección General de Artes Plásticas, , 62101, , , 484, 1, , , 64, 11, 1, , 9, 
105, Dirección General de Música, , 62201, , , 484, 1, , , 64, 11, 1, , 9, 
106, Dirección General de Actividades Cinematográficas, , 62301, , , 484, 1, , , 64, 11, 1, , 9, 
107, Dirección de Literatura, , 62401, , , 484, 1, , , 64, 11, 1, , 9, 
108, Dirección de Teatro, , 62501, , , 484, 1, , , 64, 11, 1, , 9, 
109, Dirección General de Divulgación de la Ciencia, , 64101, , , 484, 1, , , 64, 11, 1, , 9, 
110, Dirección General de Publicaciones, , 65201, , , 484, 1, , , 64, 11, 1, , 9, 
111, Dirección General de Televisión Universitaria, , 65301, , , 484, 1, , , 64, 11, 1, , 9, 
112, Dirección General de Comunicación Social, , 65501, , , 484, 1, , , 64, 11, 1, , 9, 
113, Dirección General de Radio UNAM, , 65601, , , 484, 1, , , 64, 11, 1, , 9, 
114, Dirección General de Personal, , 723, , , 484, 1, , , 64, 11, 1, , 9, 
115, Dirección General de Proveeduría, , 72401, , , 484, 1, , , 64, 11, 1, , 9, 
116, Dirección General de Estudios de Legislación Universitaria, , 73101, , , 484, 1, , , 64, 11, 1, , 9, 
117, Dirección General de Asuntos Jurídicos, , 73201, , , 484, 1, , , 64, 11, 1, , 9, 
118, Dirección General de Patrimonio Universitario, , 74201, , , 484, 1, , , 64, 11, 1, , 9, 
119, Dirección General de Control e Informática, , 74301, , , 484, 1, , , 64, 11, 1, , 9, 
120, Dirección de Danza, , 62601, , , 484, 1, , , 64, 11, 1, , 9, 
121, Dirección General de Servicios Administrativos, , 764, , , 484, 1, , , 64, 11, 1, , 9, 
122, Dirección General de Servicios Generales, , 76301, , , 484, 1, , , 64, 11, 1, , 9, 
123, Dirección General de la Escuela Nacional Preparatoria, , 45101, , , 484, 1, , , 64, 11, 1, , 9, 
124, Recintos para el Desarrollo de Eventos, , 661, , , 484, 1, , , 64, 12, 1, , 9, 
125, Plantel 1 Gabino Barreda, , 45201, , , 484, 1, , , 64, 13, 1, , 9, 
126, Plantel 2 Erasmo Castellanos Quinto, , 45202, , , 484, 1, , , 64, 13, 1, , 9, 
127, Plantel 3 Justo Sierra, , 45203, , , 484, 1, , , 64, 13, 1, , 9, 
128, Plantel 4 Vidal Castañeda y Nájera, , 45204, , , 484, 1, , , 64, 13, 1, , 9, 
129, Plantel 5 José Vasconcelos, , 45205, , , 484, 1, , , 64, 13, 1, , 9, 
130, Plantel 6 Antonio Caso, , 45206, , , 484, 1, , , 64, 13, 1, , 9, 
131, Plantel 7 Ezequiel A. Chávez, , 45207, , , 484, 1, , , 64, 13, 1, , 9, 
132, Plantel 8 Miguel E. Schultz, , 45208, , , 484, 1, , , 64, 13, 1, , 9, 
133, Plantel 9 Pedro de Alba, , 45209, , , 484, 1, , , 64, 13, 1, , 9, 
134, Plantel Azcapotzalco, , 47202, , , 484, 1, , , 64, 13, 1, , 9, 
135, Plantel Naucalpan, , 47203, , , 484, 1, , , 64, 13, 1, , 9, 
136, Plantel Vallejo, , 47204, , , 484, 1, , , 64, 13, 1, , 9, 
137, Plantel Oriente, , 47205, , , 484, 1, , , 64, 13, 1, , 9, 
138, Plantel Sur, , 47206, , , 484, 1, , , 64, 13, 1, , 9, 
139, Oficina del Consejo Académico del Bachillerato, , 51501, , , 484, 1, , , 64, 15, 1, , 9, 
140, Coordinación del Sistema de Universidad Abierta, , 481, , , 484, 1, , , 64, 16, 1, , 9, 
141, "Coordinación de Servicios Administrativos en Juriquilla, Qro.", , 52701, , , 484, 1, , , 64, 16, 1, , 9, 
142, "Coordinación de Servicios Administrativos en Morelia, Mich.", , 52901, , , 484, 1, , , 64, 16, 1, , 9, 
143, Coordinación de Difusión Cultural, , 61101, , , 484, 1, , , 64, 16, 1, , 9, 
144, Coordinación de Asesores, , 71101, , , 484, 1, , , 64, 16, 1, , 9, 
145, Consejo Técnico y Coordinación de la Investigación Científica, , 31101, , , 484, 1, , , 64, 16, 1, , 9, 
146, Coordinación y Consejo Técnico de Humanidades, , 21101, , , 484, 1, , , 64, 16, 1, , 9, 
147, Coordinación de Vinculación con el Consejo Universitario, , 53201, , , 484, 1, , , 64, 16, 1, , 9, 
148, Unidad Coordinadora de Servicios Institucionales, , 78101, , , 484, 1, , , 64, 7, 1, , 9, 
149, Unidad Coordinadora de Servicios Académicos, , 51201, , , 484, 1, , , 64, 7, 1, , 9, 
150, Unidad para el Desarrollo de Planes y Programas, , 52601, , , 484, 1, , , 64, 7, 1, , 9, 
151, Unidad Coordinadora de Vinculación con Egresados, , 55401, , , 484, 1, , , 64, 7, 1, , 9, 
152, Unidad de Coordinación de Tesorería, , 74501, , , 484, 1, , , 64, 7, 1, , 9, 
153, Unidad de Coordinación de la Contraloría, , 74701, , , 484, 1, , , 64, 7, 1, , 9, 
154, Unidad de Coordinación Administrativa, , 72201, , , 484, 1, , , 64, 7, 1, , 9, 
155, Unidad de Coordinación Institucional, , 72501, , , 484, 1, , , 64, 7, 1, , 9, 
156, Unidad de Coordinación Jurídica, , 73301, , , 484, 1, , , 64, 7, 1, , 9, 
157, Abdullah Bin Masoud University, 4, 1, 1
158, Alberuni University, 4, 1, 1
159, Balkh University, 4, 1, 1
160, Herat University, 4, 1, 1
161, Kabul Education University, 4, 1, 1
162, Kabul Medical Institute, 4, 1, 1
163, Kabul Polytechnic Institute, 4, 1, 1
164, Kandahar University, 4, 1, 1
165, Khust University, 4, 1, 1
166, Nangarhar University, 4, 1, 1
167, Pohantoon Kabul, 4, 1, 1
168, Akademia e Arteve Tiranë, 8, 1, 1
169, Aleksandër Xhuvani University of Elbasan, 8, 1, 1
170, Eqrem Çabej University of Gjirokstra, 8, 1, 1
171, Higher Institute of Physical Education 'Vojo Kushi', 8, 1, 1
172, Higher School 'Luarasi', 8, 1, 1
173, New York University, 8, 1, 1
174, Shkolla e Filmit dhe Multimedias Marubi, 8, 1, 1
175, UFO-Dental, 8, 1, 1
176, Universiteti 'Fan S. Noli' Korçë, 8, 1, 1
177, Universiteti Bujqësor i Tiranës, 8, 1, 1
178, Universiteti i Shkodrës 'Luigj Gurakuqi', 8, 1, 1
179, Universiteti i Tiranës, 8, 1, 1
180, Universiteti Politeknik i Tiranës, 8, 1, 1
