Agradecimientos por carta
Créditos y agradecimientos por apoyo técnico
Otro
Agradecimientos en tesis
Agradecimientos en congresos
Agradecimientos en artículos de investigación
Agradecimientos en artículos de divulgación
Agradecimientos en Artículos en Memorias Arbitradas
Agradecimientos en memorias de congresos
Apoyo Logístico
Agradecimientos por Estudiantes en Estancias.
Agradecimientos en Libros.
Agradecimiento en póster por apoyo técnico otorgado.
Agradecimientos en Artículos en Memorias In Extenso
Moya Sánchez Eduardo Ulises
Luis Manuel Colín Vargas
Ramírez Pérez Hugo
Reconocimiento
En reporte interno 
Agradecimiento por apoyo técnico
Apoyo
Agradecimiento en tesis de maestría
Agradecimiento en tesis de licenciatura
Agradecimiento en Tesis de Doctorado
Agradecimientos en Tesis, por Carta, Trabajos Publicados, Cursos.
Margarita Ivet  Gil Chavarría
Gaby E. Tiznado Orozco
Antonio Aguilar tapia
Carta de agradecimiento
Agradecimiento en póster
Tesis Doctoral de Elia Lizeth Morales Gallegos. Medición del contenído de Hidrógenbo en blancos de Grafito para Experimentos de Astrofísica Nuclear 
AGRADECIMIENTOS EN ARTICULOS DE INVESTIGACION ARBITRADOS
Carta de Apoyo
Reconocimiento por dirección de estudiante acreedor a la Medalla Alfonso Caso UNAM}
Reconocimiento por dirección de tesis de estudiante acreedor al Premio Juan Manuel Lozano del IFUNAM
Medalla Alfonso Caso
Maestría en Ciencias (Física Médica), Posgrado en Ciencias Físicas, UNAM
Agradecimiento en tesis de licenciatura en Física, Facultad de Ciencias, UNAM
Tesis de licenciatura
Agradecimiento en Tesis de Maestría
Agradecimientos en trabajos presentados en congresos
