Aguascalientes,1
Calvillo,1
Pabellón de Arteaga,1
Rincón de Romos,1
Ensenada,2
Guadalupe Victoria (km. 43),2
Mexicali,2
Rodolfo Sánchez T. (maneadero),2
Santa Isabel,2
Tecate,2
Tijuana,2
Cabo San Lucas,3
Ciudad Constitución,3
La Paz,3
San José del Cabo,3
Campeche,4
Champotón,4
Ciudad del Carmen,4
Escarcega,4
Arriaga,5
Berriozabal,5
Cintalapa de Figueroa,5
Comitán de Domínguez,5
Huixtla,5
Las Rosas,5
Motozintla de Mendoza,5
Ocosingo,5
Ocozocoautla de Espinosa,5
Palenque,5
Reforma,5
San Cristóbal de las Casas,5
Tapachula de Córdoba y Ordóñez,5
Tonalá,5
Tuxtla Gutiérrez,5
Villaflores,5
Chihuahua,6
Cuauhtémoc,6
Delicias,6
Hidalgo del Parral,6
José Mariano Jiménez,6
Juan Aldama,6
Juárez,6
Manuel Ojinaga,6
Nuevo Casas Grandes,6
Pedro Meoqui,6
Santa Rosalía de Camargo,6
Allende,7
Ciudad Acuña,7
Ciudad Melchor Muzquiz,7
Francisco I. Madero,7
Monclova,7
Nueva Rosita - Cloete,7
Palau,7
Parras de la Fuente,7
Piedras Negras,7
Sabinas,7
Saltillo,7
San Buenaventura,7
San Pedro,7
Torreón,7
Colima,8
Manzanillo,8
Tecomán - Armeria,8
Ciudad de México,9
El Salto,10
Santiago Papasquiaro,10
Victoria de Durango,10
Amecameca de Juárez,11
Atlacomulco - Tecoac,11
Capulhuac - Santiago Tianguistenco,11
Ixtapan de la Sal,11
Los Baños,11
Ocoyoacac,11
Ozumba,11
San Bartolo del Llano - Santa Cruz Tepexpan,11
Santo Domingo,11
Tejupilco de Hidalgo,11
Temascalcingo - La Magdalena,11
Tenancingo de Degollado,11
Tenango - Satiaguito,11
Tequixquiac,11
Toluca,11
Valle de Bravo,11
Villa Cuauhtémoc,11
Xalatlaco - Santiago Tilapa,11
Abasolo,12
Acambaro,12
Apaseo el Alto,12
Apaseo el Grande,12
Celaya,12
Centro Familiar la Soledad,12
Comonfort,12
Cortazar,12
Dolores Hidalgo Cuna de la Indep. Nal.,12
Guanajuato,12
Irapuato,12
Jaral del Progreso,12
Juventino Rosas,12
León,12
Moroleón - Uriangato,12
Pénjamo,12
Romita,12
Salamanca,12
Salvatierra,12
San Felipe,12
San Francisco - Purísima,12
San Luis de la Paz,12
San Miguel de Allende,12
Silao,12
Valle de Santiago,12
Villagrán,12
Yuriria,12
Acapulco de Juárez,13
Arcelia,13
Atoyac de Alvarez,13
Chilapa de Alvarez,13
Chilpancingo de los Bravo,13
Ciudad Altamirano - Riva Palacio,13
Ciudad de Huitzuco,13
Iguala de la Independencia,13
Ometepec,13
Petatlán,13
San José Iturbide,13
Taxco de Alarcón,13
Tecpan de Galeana - El Suchil,13
Teloloapan,13
Tixtla de Guerrero,13
Tlapa de Comonfort,13
Tulancingo,13
Zihuatanejo,13
Zumpango del Río,13
Actopan,14
Apan,14
Ciudad Sahagún,14
Huejutla,14
Ixmiquilpan,14
Mixquiahuala - Progreso,14
Pachuca,14
Tepeji de Ocampo,14
Tezontepec de Aldama,14
